,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Tech_Park,118.35714285714286,AGAST+SIFT,0.49107142857142855,0.004149064574532287,0.9958509354254677,0.004149064574532317
1,Tech_Park,140.61607142857142,AGAST+SIFT,0.15178571428571427,0.0010794336148326879,0.9989205663851672,0.0010794336148327234
2,Tech_Park,334.64285714285717,AGAST+SIFT,2.455357142857143,0.0073372465314834575,0.9926627534685165,0.007337246531483473
3,Tech_Park,216.54464285714286,AGAST+SIFT,1.2589285714285714,0.005813713767368985,0.994186286232631,0.00581371376736902
4,Tech_Park,182.35714285714286,AGAST+SIFT,13.258928571428571,0.07270857814336075,0.9272914218566392,0.0727085781433608
5,Tech_Park,403.00892857142856,AGAST+SIFT,8.214285714285714,0.02038239138622416,0.9796176086137758,0.020382391386224188
6,Tech_Park,1041.169642857143,AGAST+SIFT,3.6339285714285716,0.003490236770116027,0.9965097632298838,0.0034902367701160997
7,Tech_Park,1336.0357142857142,AGAST+SIFT,208.71428571428572,0.1562190916624342,0.8437809083375658,0.1562190916624342
8,Tech_Park,1395.3214285714287,AGAST+SIFT,84.21428571428571,0.06035475696844044,0.9396452430315595,0.06035475696844047
9,Tech_Park,1326.392857142857,AGAST+SIFT,69.73214285714286,0.05257276717197556,0.9474272328280244,0.05257276717197556
10,Tech_Park,901.4642857142857,AGAST+SIFT,38.607142857142854,0.04282714630957569,0.9571728536904243,0.042827146309575716
11,Tech_Park,760.2946428571429,AGAST+SIFT,1.3928571428571428,0.0018319965239040315,0.998168003476096,0.0018319965239040048
12,Tech_Park,777.4553571428571,AGAST+SIFT,0.9017857142857143,0.0011599196095320127,0.998840080390468,0.0011599196095320012
13,Tech_Park,177.77678571428572,AGAST+SIFT,0.08928571428571429,0.0005022349455075084,0.9994977650544924,0.0005022349455075576
14,Tech_Park,407.4732142857143,AGAST+SIFT,0.11607142857142858,0.00028485658566514014,0.9997151434143349,0.00028485658566513385
15,Tech_Park,841.3303571428571,AGAST+SIFT,4.491071428571429,0.005338059408462364,0.9946619405915376,0.0053380594084624
16,Tech_Park,1265.1607142857142,AGAST+SIFT,0.08928571428571429,7.057262628971475e-05,0.9999294273737103,7.057262628972401e-05
17,Tech_Park,1332.6339285714287,AGAST+SIFT,0.07142857142857142,5.359954440387256e-05,0.999946400455596,5.3599544403927096e-05
18,Tech_Park,1275.517857142857,AGAST+SIFT,0.05357142857142857,4.199974800151199e-05,0.9999580002519985,4.199974800148266e-05
19,Tech_Park,775.6071428571429,AGAST+SIFT,0.09821428571428571,0.00012662890822857668,0.9998733710917713,0.00012662890822862655
20,Tech_Park,256.41964285714283,AGAST+SIFT,0.20535714285714285,0.000800863539816846,0.9991991364601831,0.0008008635398168723
21,Tech_Park,151.54464285714286,AGAST+SIFT,0.6875,0.004536616979909268,0.9954633830200907,0.0045366169799092625
22,Tech_Park,250.54464285714286,AGAST+SIFT,0.6339285714285714,0.0025302020597982966,0.9974697979402016,0.002530202059798333
23,Tech_Park,306.6517857142857,AGAST+SIFT,7.125,0.02323482311835784,0.9767651768816422,0.02323482311835781
24,Tech_Park,1007.1428571428571,AGAST+SIFT,4.669642857142857,0.004636524822695035,0.995363475177305,0.004636524822695044
25,Tech_Park,842.75,AGAST+SIFT,0.625,0.0007416196974191634,0.9992583803025809,0.0007416196974191562
26,Tech_Park,157.08035714285714,AGAST+SIFT,0.5625,0.0035809697038594896,0.9964190302961405,0.003580969703859475
27,Tech_Park,240.85714285714286,AGAST+SIFT,0.49107142857142855,0.0020388493475682087,0.9979611506524318,0.0020388493475681792
28,Tech_Park,212.83035714285714,AGAST+SIFT,0.3125,0.0014683055753660277,0.998531694424634,0.0014683055753660316
29,Tech_Park,232.33928571428572,AGAST+SIFT,10.428571428571429,0.04488509722542464,0.9551149027745754,0.0448850972254246
30,Tech_Park,437.82142857142856,AGAST+SIFT,2.3035714285714284,0.005261440574271963,0.994738559425728,0.005261440574271995
31,Tech_Park,257.91964285714283,AGAST+SIFT,1.125,0.004361823657700696,0.9956381763422993,0.004361823657700677
32,Tech_Park,125.14285714285714,AGAST+SIFT,1.2946428571428572,0.010345319634703197,0.9896546803652968,0.010345319634703197
33,Tech_Park,311.88392857142856,AGAST+SIFT,4.919642857142857,0.015773954367181015,0.984226045632819,0.015773954367181
34,Tech_Park,186.95535714285714,AGAST+SIFT,0.48214285714285715,0.0025789197191842974,0.9974210802808157,0.0025789197191843165
35,Tech_Park,264.20535714285717,AGAST+SIFT,0.22321428571428573,0.0008448514751106755,0.9991551485248894,0.0008448514751106366
36,Tech_Park,283.80357142857144,AGAST+SIFT,0.16071428571428573,0.0005662870446108349,0.9994337129553892,0.0005662870446108243
37,Tech_Park,581.0446428571429,AGAST+SIFT,7.285714285714286,0.012538992270694714,0.9874610077293052,0.012538992270694743
38,Tech_Park,944.7946428571429,AGAST+SIFT,32.732142857142854,0.034644716822438734,0.9653552831775613,0.03464471682243874
39,Tech_Park,930.0803571428571,AGAST+SIFT,0.11607142857142858,0.00012479720454261825,0.9998752027954574,0.00012479720454261657
40,Tech_Park,1021.1875,AGAST+SIFT,0.09821428571428571,9.617654516363127e-05,0.9999038234548363,9.617654516366331e-05
41,Tech_Park,413.55357142857144,AGAST+SIFT,26.026785714285715,0.06293449630813075,0.9370655036918693,0.06293449630813075
42,Tech_Park,269.29464285714283,AGAST+SIFT,0.9642857142857143,0.003580783130532808,0.9964192168694672,0.0035807831305327957
