,Dataset,Number of Keypoints,Detector/Descriptor
95,Gravel_Pit,205.1611374407583,AGAST+SIFT
96,Gravel_Pit,226.54976303317537,AGAST+SIFT
97,Gravel_Pit,281.5971563981043,AGAST+SIFT
98,Gravel_Pit,289.7203791469194,AGAST+SIFT
99,Gravel_Pit,217.3791469194313,AGAST+SIFT
100,Gravel_Pit,285.3175355450237,AGAST+SIFT
101,Gravel_Pit,300.6398104265403,AGAST+SIFT
102,Gravel_Pit,309.74407582938386,AGAST+SIFT
103,Gravel_Pit,309.5592417061611,AGAST+SIFT
104,Gravel_Pit,333.70142180094786,AGAST+SIFT
105,Gravel_Pit,252.478672985782,AGAST+SIFT
106,Gravel_Pit,238.74881516587678,AGAST+SIFT
107,Gravel_Pit,346.5592417061611,AGAST+SIFT
108,Gravel_Pit,358.93838862559244,AGAST+SIFT
109,Gravel_Pit,333.2464454976303,AGAST+SIFT
110,Gravel_Pit,348.7298578199052,AGAST+SIFT
111,Gravel_Pit,301.87203791469193,AGAST+SIFT
112,Gravel_Pit,285.2654028436019,AGAST+SIFT
113,Gravel_Pit,335.4691943127962,AGAST+SIFT
114,Gravel_Pit,228.9478672985782,AGAST+SIFT
115,Gravel_Pit,193.5829383886256,AGAST+SIFT
116,Gravel_Pit,169.739336492891,AGAST+SIFT
117,Gravel_Pit,302.3270142180095,AGAST+SIFT
118,Gravel_Pit,453.6919431279621,AGAST+SIFT
119,Gravel_Pit,470.9194312796209,AGAST+SIFT
120,Gravel_Pit,373.2701421800948,AGAST+SIFT
121,Gravel_Pit,366.90047393364927,AGAST+SIFT
122,Gravel_Pit,346.26066350710903,AGAST+SIFT
123,Gravel_Pit,221.01421800947867,AGAST+SIFT
124,Gravel_Pit,147.48815165876778,AGAST+SIFT
125,Gravel_Pit,222.19431279620852,AGAST+SIFT
126,Gravel_Pit,318.29383886255926,AGAST+SIFT
127,Gravel_Pit,372.6398104265403,AGAST+SIFT
128,Gravel_Pit,363.9905213270142,AGAST+SIFT
129,Gravel_Pit,286.8909952606635,AGAST+SIFT
130,Gravel_Pit,307.01421800947867,AGAST+SIFT
131,Gravel_Pit,179.12322274881515,AGAST+SIFT
132,Gravel_Pit,159.08056872037915,AGAST+SIFT
133,Gravel_Pit,258.50236966824644,AGAST+SIFT
134,Gravel_Pit,198.22748815165878,AGAST+SIFT
135,Gravel_Pit,232.97156398104266,AGAST+SIFT
136,Gravel_Pit,279.81516587677726,AGAST+SIFT
137,Gravel_Pit,272.23222748815164,AGAST+SIFT
138,Gravel_Pit,333.1232227488152,AGAST+SIFT
139,Gravel_Pit,370.3554502369668,AGAST+SIFT
140,Gravel_Pit,186.0521327014218,AGAST+SIFT
141,Gravel_Pit,162.35071090047393,AGAST+SIFT
142,Gravel_Pit,155.91943127962085,AGAST+SIFT
143,Gravel_Pit,353.0805687203791,AGAST+SIFT
144,Gravel_Pit,330.0805687203791,AGAST+SIFT
145,Gravel_Pit,281.7156398104265,AGAST+SIFT
146,Gravel_Pit,103.91469194312796,AGAST+SIFT
147,Gravel_Pit,259.65402843601896,AGAST+SIFT
148,Gravel_Pit,301.13744075829385,AGAST+SIFT
149,Gravel_Pit,317.41706161137444,AGAST+SIFT
150,Gravel_Pit,260.3981042654028,AGAST+SIFT
151,Gravel_Pit,322.6777251184834,AGAST+SIFT
152,Gravel_Pit,249.5165876777251,AGAST+SIFT
153,Gravel_Pit,355.7298578199052,AGAST+SIFT
154,Gravel_Pit,267.22748815165875,AGAST+SIFT
155,Gravel_Pit,344.38862559241704,AGAST+SIFT
156,Gravel_Pit,252.64454976303318,AGAST+SIFT
157,Gravel_Pit,233.90521327014218,AGAST+SIFT
158,Gravel_Pit,261.76777251184836,AGAST+SIFT
159,Gravel_Pit,284.50710900473933,AGAST+SIFT
160,Gravel_Pit,200.54502369668248,AGAST+SIFT
161,Gravel_Pit,67.74881516587678,AGAST+SIFT
162,Gravel_Pit,68.04739336492891,AGAST+SIFT
163,Gravel_Pit,146.7772511848341,AGAST+SIFT
164,Gravel_Pit,332.06635071090045,AGAST+SIFT
165,Gravel_Pit,227.91943127962085,AGAST+SIFT
166,Gravel_Pit,327.08530805687207,AGAST+SIFT
167,Gravel_Pit,343.5308056872038,AGAST+SIFT
168,Gravel_Pit,174.2559241706161,AGAST+SIFT
169,Gravel_Pit,114.71090047393365,AGAST+SIFT
170,Gravel_Pit,92.4691943127962,AGAST+SIFT
171,Gravel_Pit,337.5118483412322,AGAST+SIFT
172,Gravel_Pit,405.93838862559244,AGAST+SIFT
173,Gravel_Pit,402.4454976303318,AGAST+SIFT
174,Gravel_Pit,411.65876777251185,AGAST+SIFT
175,Gravel_Pit,420.91469194312793,AGAST+SIFT
176,Gravel_Pit,287.78199052132703,AGAST+SIFT
177,Gravel_Pit,169.478672985782,AGAST+SIFT
178,Gravel_Pit,155.4170616113744,AGAST+SIFT
179,Gravel_Pit,173.09004739336493,AGAST+SIFT
180,Gravel_Pit,239.0568720379147,AGAST+SIFT
181,Gravel_Pit,294.8767772511848,AGAST+SIFT
182,Gravel_Pit,241.29383886255926,AGAST+SIFT
183,Gravel_Pit,251.56872037914692,AGAST+SIFT
184,Gravel_Pit,336.6919431279621,AGAST+SIFT
185,Gravel_Pit,420.3649289099526,AGAST+SIFT
186,Gravel_Pit,319.06635071090045,AGAST+SIFT
187,Gravel_Pit,251.72511848341233,AGAST+SIFT
188,Gravel_Pit,211.218009478673,AGAST+SIFT
189,Gravel_Pit,263.8009478672986,AGAST+SIFT
190,Gravel_Pit,243.82938388625593,AGAST+SIFT
191,Gravel_Pit,152.46445497630333,AGAST+SIFT
192,Gravel_Pit,227.29383886255926,AGAST+SIFT
193,Gravel_Pit,232.59715639810426,AGAST+SIFT
194,Gravel_Pit,220.3222748815166,AGAST+SIFT
195,Gravel_Pit,336.58293838862556,AGAST+SIFT
196,Gravel_Pit,331.34597156398104,AGAST+SIFT
197,Gravel_Pit,342.6777251184834,AGAST+SIFT
198,Gravel_Pit,324.21800947867297,AGAST+SIFT
199,Gravel_Pit,427.85781990521326,AGAST+SIFT
200,Gravel_Pit,340.54502369668245,AGAST+SIFT
201,Gravel_Pit,302.3222748815166,AGAST+SIFT
202,Gravel_Pit,309.41706161137444,AGAST+SIFT
203,Gravel_Pit,256.9668246445498,AGAST+SIFT
204,Gravel_Pit,272.521327014218,AGAST+SIFT
205,Gravel_Pit,166.2654028436019,AGAST+SIFT
206,Gravel_Pit,256.12796208530807,AGAST+SIFT
207,Gravel_Pit,135.88625592417063,AGAST+SIFT
208,Gravel_Pit,188.35071090047393,AGAST+SIFT
209,Gravel_Pit,256.2843601895735,AGAST+SIFT
210,Gravel_Pit,201.67298578199052,AGAST+SIFT
211,Gravel_Pit,55.78672985781991,AKAZE
212,Gravel_Pit,51.4218009478673,AKAZE
213,Gravel_Pit,50.947867298578196,AKAZE
214,Gravel_Pit,51.78199052132702,AKAZE
215,Gravel_Pit,51.04265402843602,AKAZE
216,Gravel_Pit,51.161137440758296,AKAZE
217,Gravel_Pit,46.834123222748815,AKAZE
218,Gravel_Pit,47.23222748815166,AKAZE
219,Gravel_Pit,62.07582938388626,AKAZE
220,Gravel_Pit,90.99526066350711,AKAZE
221,Gravel_Pit,116.72037914691943,AKAZE
222,Gravel_Pit,68.76777251184834,AKAZE
223,Gravel_Pit,48.317535545023695,AKAZE
224,Gravel_Pit,40.85308056872038,AKAZE
225,Gravel_Pit,39.07582938388626,AKAZE
226,Gravel_Pit,39.18483412322275,AKAZE
227,Gravel_Pit,37.691943127962084,AKAZE
228,Gravel_Pit,44.80568720379147,AKAZE
229,Gravel_Pit,56.47867298578199,AKAZE
230,Gravel_Pit,45.43127962085308,AKAZE
231,Gravel_Pit,36.502369668246445,AKAZE
232,Gravel_Pit,36.81990521327014,AKAZE
233,Gravel_Pit,47.78672985781991,AKAZE
234,Gravel_Pit,50.829383886255926,AKAZE
235,Gravel_Pit,44.492890995260666,AKAZE
