,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Gravel_Pit,242.58095238095237,AGAST+SIFT,0.7761904761904762,0.003199717325585961,0.9968002826744141,0.003199717325585922
1,Gravel_Pit,200.5047619047619,AGAST+SIFT,0.24761904761904763,0.0012349783878782123,0.9987650216121218,0.0012349783878782196
2,Gravel_Pit,250.45238095238096,AGAST+SIFT,8.380952380952381,0.0334632569635897,0.9665367430364104,0.03346325696358967
3,Gravel_Pit,302.5,AGAST+SIFT,14.842857142857143,0.04906729634002362,0.9509327036599764,0.04906729634002361
4,Gravel_Pit,330.15238095238095,AGAST+SIFT,36.385714285714286,0.11020885017019558,0.8897911498298043,0.11020885017019562
5,Gravel_Pit,307.9761904761905,AGAST+SIFT,17.566666666666666,0.0570390413606494,0.9429609586393506,0.057039041360649405
6,Gravel_Pit,272.16190476190474,AGAST+SIFT,0.20476190476190476,0.000752353291108234,0.9992476467088919,0.0007523532911081775
7,Gravel_Pit,297.93809523809523,AGAST+SIFT,0.04285714285714286,0.00014384579730528874,0.9998561542026947,0.00014384579730529872
8,Gravel_Pit,232.82380952380953,AGAST+SIFT,0.05238095238095238,0.000224981081136359,0.9997750189188637,0.00022498108113634593
9,Gravel_Pit,287.76666666666665,AGAST+SIFT,0.047619047619047616,0.0001654779831543413,0.9998345220168458,0.0001654779831542955
10,Gravel_Pit,229.92380952380952,AGAST+SIFT,0.0380952380952381,0.00016568635572860576,0.9998343136442713,0.00016568635572863637
11,Gravel_Pit,233.42380952380952,AGAST+SIFT,0.07142857142857142,0.0003060037944470511,0.9996939962055529,0.00030600379444708473
12,Gravel_Pit,252.88571428571427,AGAST+SIFT,0.3761904761904762,0.0014875908560238015,0.9985124091439762,0.001487590856023796
13,Gravel_Pit,253.8190476190476,AGAST+SIFT,0.047619047619047616,0.00018761022100484035,0.9998123897789952,0.00018761022100480753
14,Gravel_Pit,248.0952380952381,AGAST+SIFT,0.5857142857142857,0.00236084452975048,0.9976391554702495,0.002360844529750487
15,Gravel_Pit,233.27619047619046,AGAST+SIFT,0.7523809523809524,0.0032252796603249776,0.9967747203396751,0.003225279660324954
16,Gravel_Pit,203.25238095238095,AGAST+SIFT,1.0095238095238095,0.004966848628259494,0.9950331513717405,0.004966848628259481
17,Gravel_Pit,250.48095238095237,AGAST+SIFT,0.24761904761904763,0.0009885743617041502,0.9990114256382958,0.0009885743617041684
18,Gravel_Pit,269.0238095238095,AGAST+SIFT,18.123809523809523,0.06736879369855739,0.9326312063014427,0.06736879369855735
19,Gravel_Pit,243.44761904761904,AGAST+SIFT,15.952380952380953,0.0655269540724513,0.9344730459275487,0.06552695407245132
20,Gravel_Pit,300.9809523809524,AGAST+SIFT,90.15714285714286,0.2995443470556593,0.7004556529443408,0.2995443470556593
21,Gravel_Pit,349.16190476190474,AGAST+SIFT,103.3047619047619,0.2958649282635972,0.7041350717364028,0.2958649282635972
22,Gravel_Pit,276.74285714285713,AGAST+SIFT,60.857142857142854,0.21990501755110467,0.7800949824488953,0.21990501755110467
23,Gravel_Pit,236.62857142857143,AGAST+SIFT,41.79047619047619,0.17660790469290832,0.8233920953070917,0.17660790469290832
24,Gravel_Pit,286.74285714285713,AGAST+SIFT,33.99523809523809,0.11855652982595988,0.8814434701740401,0.11855652982595988
25,Gravel_Pit,200.33809523809524,AGAST+SIFT,0.49523809523809526,0.0024720115994390436,0.9975279884005609,0.002472011599439075
26,Gravel_Pit,222.14761904761906,AGAST+SIFT,0.44285714285714284,0.0019935263981479493,0.998006473601852,0.001993526398147966
27,Gravel_Pit,149.45238095238096,AGAST+SIFT,0.7,0.0046837661303170295,0.995316233869683,0.004683766130316993
28,Gravel_Pit,379.1857142857143,AGAST+SIFT,0.17142857142857143,0.0004520965979731002,0.9995479034020269,0.00045209659797308655
29,Gravel_Pit,290.64285714285717,AGAST+SIFT,27.090476190476192,0.09320881461456541,0.9067911853854346,0.09320881461456541
30,Gravel_Pit,236.1809523809524,AGAST+SIFT,16.02857142857143,0.06786563974353804,0.9321343602564619,0.06786563974353807
31,Gravel_Pit,290.7190476190476,AGAST+SIFT,31.071428571428573,0.10687785621857136,0.8931221437814287,0.10687785621857131
32,Gravel_Pit,231.64285714285714,AGAST+SIFT,29.29047619047619,0.12644670572515163,0.8735532942748484,0.12644670572515163
33,Gravel_Pit,263.3904761904762,AGAST+SIFT,34.59047619047619,0.13132774081573617,0.8686722591842638,0.13132774081573617
34,Gravel_Pit,251.71428571428572,AGAST+SIFT,57.0,0.22644721906923948,0.7735527809307605,0.22644721906923948
35,Gravel_Pit,236.07142857142858,AGAST+SIFT,0.5142857142857142,0.0021785173978819965,0.997821482602118,0.0021785173978819965
36,Gravel_Pit,116.57619047619048,AGAST+SIFT,0.0761904761904762,0.0006535680731996243,0.9993464319268004,0.0006535680731996153
37,Gravel_Pit,220.15238095238095,AGAST+SIFT,0.12380952380952381,0.000562381034781104,0.999437618965219,0.0005623810347810581
38,Gravel_Pit,260.70952380952383,AGAST+SIFT,2.880952380952381,0.011050430144842827,0.988949569855157,0.011050430144842898
39,Gravel_Pit,234.82380952380953,AGAST+SIFT,0.047619047619047616,0.00020278628353578162,0.9997972137164642,0.00020278628353577122
40,Gravel_Pit,192.12857142857143,AGAST+SIFT,0.08571428571428572,0.0004461298237787196,0.9995538701762212,0.0004461298237787521
41,Gravel_Pit,231.8047619047619,AGAST+SIFT,17.057142857142857,0.07358409170278765,0.9264159082972124,0.07358409170278761
42,Gravel_Pit,124.53333333333333,AGAST+SIFT,8.495238095238095,0.06821657999388192,0.9317834200061181,0.06821657999388189
43,Gravel_Pit,243.57142857142858,AGAST+SIFT,28.614285714285714,0.11747800586510262,0.8825219941348973,0.11747800586510267
44,Gravel_Pit,189.07142857142858,AGAST+SIFT,6.428571428571429,0.03400075557234605,0.9659992444276541,0.034000755572346
45,Gravel_Pit,292.6190476190476,AGAST+SIFT,46.233333333333334,0.15799837266069977,0.8420016273393002,0.1579983726606998
46,Gravel_Pit,189.33809523809524,AGAST+SIFT,11.285714285714286,0.05960614672669199,0.940393853273308,0.059606146726691976
47,Gravel_Pit,232.6952380952381,AGAST+SIFT,12.185714285714285,0.05236769942291163,0.9476323005770884,0.05236769942291163
48,Gravel_Pit,387.37142857142857,AGAST+SIFT,34.60952380952381,0.0893445444264149,0.9106554555735851,0.08934454442641492
49,Gravel_Pit,426.23333333333335,AGAST+SIFT,21.21904761904762,0.049782703415299015,0.950217296584701,0.04978270341529901
50,Gravel_Pit,442.33809523809526,AGAST+SIFT,0.03333333333333333,7.535713901239086e-05,0.9999246428609876,7.535713901240084e-05
51,Gravel_Pit,450.0809523809524,AGAST+SIFT,34.21904761904762,0.07602865093052044,0.9239713490694795,0.07602865093052046
52,Gravel_Pit,317.3285714285714,AGAST+SIFT,0.0761904761904762,0.00024009964135116076,0.9997599003586487,0.00024009964135122988
53,Gravel_Pit,257.252380952381,AGAST+SIFT,14.833333333333334,0.057660626029654036,0.942339373970346,0.05766062602965405
54,Gravel_Pit,149.38571428571427,AGAST+SIFT,35.77142857142857,0.23945682318064457,0.7605431768193555,0.23945682318064457
55,Gravel_Pit,97.9,AGAST+SIFT,7.857142857142857,0.08025682182985552,0.9197431781701444,0.08025682182985557
56,Gravel_Pit,61.22857142857143,AGAST+SIFT,5.728571428571429,0.09356042930471302,0.906439570695287,0.09356042930471299
57,Gravel_Pit,141.22380952380954,AGAST+SIFT,6.876190476190477,0.04869002259163098,0.951309977408369,0.048690022591631
58,Gravel_Pit,147.07619047619048,AGAST+SIFT,3.6619047619047618,0.02489801204429191,0.975101987955708,0.024898012044291942
59,Gravel_Pit,244.35714285714286,AGAST+SIFT,12.704761904761904,0.05199259475786806,0.9480074052421319,0.05199259475786808
60,Gravel_Pit,275.8047619047619,AGAST+SIFT,28.438095238095237,0.10310951501234482,0.8968904849876552,0.10310951501234479
61,Gravel_Pit,361.7047619047619,AGAST+SIFT,0.2904761904761905,0.0008030753837647122,0.9991969246162353,0.0008030753837646926
62,Gravel_Pit,279.32380952380953,AGAST+SIFT,0.5285714285714286,0.001892325002557196,0.9981076749974429,0.001892325002557145
63,Gravel_Pit,266.66190476190474,AGAST+SIFT,2.895238095238095,0.010857336738156038,0.989142663261844,0.010857336738156035
64,Gravel_Pit,168.3,AGAST+SIFT,3.4714285714285715,0.02062643239113827,0.9793735676088617,0.020626432391138264
65,Gravel_Pit,114.63333333333334,AGAST+SIFT,2.4904761904761905,0.021725584679931874,0.9782744153200682,0.021725584679931836
66,Gravel_Pit,68.34285714285714,AGAST+SIFT,5.947619047619048,0.08702619843924192,0.912973801560758,0.08702619843924195
67,Gravel_Pit,89.13809523809523,AGAST+SIFT,5.8238095238095235,0.06533468668198088,0.934665313318019,0.0653346866819809
68,Gravel_Pit,183.41904761904763,AGAST+SIFT,19.847619047619048,0.10820914896931304,0.891790851030687,0.10820914896931301
69,Gravel_Pit,313.3666666666667,AGAST+SIFT,38.39047619047619,0.1225097633990305,0.8774902366009695,0.12250976339903051
70,Gravel_Pit,380.5571428571429,AGAST+SIFT,105.19047619047619,0.27641177721886456,0.7235882227811354,0.27641177721886456
71,Gravel_Pit,455.5571428571429,AGAST+SIFT,56.51428571428571,0.12405531688042898,0.875944683119571,0.124055316880429
72,Gravel_Pit,417.95238095238096,AGAST+SIFT,0.04285714285714286,0.00010254073145721773,0.9998974592685428,0.00010254073145721507
73,Gravel_Pit,251.37142857142857,AGAST+SIFT,5.1,0.020288701977722208,0.9797112980222779,0.020288701977722177
74,Gravel_Pit,370.7190476190476,AGAST+SIFT,24.35238095238095,0.06568958651783535,0.9343104134821647,0.06568958651783532
75,Gravel_Pit,304.252380952381,AGAST+SIFT,67.84761904761905,0.22299782448781555,0.7770021755121844,0.22299782448781558
76,Gravel_Pit,240.17619047619047,AGAST+SIFT,45.61904761904762,0.18993992505501914,0.8100600749449809,0.18993992505501914
77,Gravel_Pit,113.67619047619047,AGAST+SIFT,8.8,0.07741286863270778,0.9225871313672922,0.07741286863270778
78,Gravel_Pit,163.09047619047618,AGAST+SIFT,6.59047619047619,0.040409938976320475,0.9595900610236796,0.040409938976320434
79,Gravel_Pit,239.7,AGAST+SIFT,5.895238095238096,0.024594234857063395,0.9754057651429366,0.024594234857063375
80,Gravel_Pit,210.84761904761905,AGAST+SIFT,13.047619047619047,0.061881747143050725,0.9381182528569493,0.061881747143050725
81,Gravel_Pit,293.3666666666667,AGAST+SIFT,24.276190476190475,0.08275033681237522,0.9172496631876247,0.08275033681237527
82,Gravel_Pit,346.5,AGAST+SIFT,17.923809523809524,0.0517281660138803,0.9482718339861198,0.05172816601388024
83,Gravel_Pit,300.3857142857143,AGAST+SIFT,0.10952380952380952,0.00036461058004787493,0.9996353894199521,0.00036461058004788046
84,Gravel_Pit,394.1904761904762,AGAST+SIFT,24.585714285714285,0.06237013771442377,0.9376298622855762,0.06237013771442378
85,Gravel_Pit,429.34761904761905,AGAST+SIFT,3.704761904761905,0.008628816698645786,0.9913711833013543,0.008628816698645734
86,Gravel_Pit,420.03809523809525,AGAST+SIFT,21.438095238095237,0.05103845456194449,0.9489615454380556,0.05103845456194447
87,Gravel_Pit,313.65238095238095,AGAST+SIFT,14.114285714285714,0.04499977226835897,0.9550002277316411,0.044999772268358953
88,Gravel_Pit,293.3857142857143,AGAST+SIFT,7.633333333333334,0.02601808118680106,0.973981918813199,0.026018081186801056
89,Gravel_Pit,300.96666666666664,AGAST+SIFT,0.08095238095238096,0.0002689745739917409,0.9997310254260082,0.0002689745739917584
90,Gravel_Pit,329.85238095238094,AGAST+SIFT,0.4380952380952381,0.0013281554519337655,0.9986718445480662,0.0013281554519337655
91,Gravel_Pit,303.6047619047619,AGAST+SIFT,71.14285714285714,0.23432721112975827,0.7656727888702417,0.23432721112975827
92,Gravel_Pit,276.8333333333333,AGAST+SIFT,1.5952380952380953,0.0057624494710587434,0.9942375505289414,0.005762449471058691
93,Gravel_Pit,322.1095238095238,AGAST+SIFT,1.9904761904761905,0.0061795012048549,0.993820498795145,0.0061795012048549485
94,Gravel_Pit,206.13809523809525,AGAST+SIFT,0.05238095238095238,0.0002541061239575874,0.9997458938760424,0.00025410612395759276
95,Gravel_Pit,227.62857142857143,AGAST+SIFT,1.4142857142857144,0.006213129157775826,0.9937868708422242,0.006213129157775829
96,Gravel_Pit,282.93809523809523,AGAST+SIFT,17.15714285714286,0.060639211000218796,0.9393607889997813,0.06063921100021877
97,Gravel_Pit,291.1,AGAST+SIFT,48.34761904761905,0.16608594657375145,0.8339140534262486,0.16608594657375145
98,Gravel_Pit,218.4142857142857,AGAST+SIFT,0.47619047619047616,0.002180216713541326,0.9978197832864586,0.0021802167135413658
99,Gravel_Pit,286.67619047619047,AGAST+SIFT,26.18095238095238,0.09132586957243945,0.9086741304275606,0.09132586957243942
100,Gravel_Pit,302.07142857142856,AGAST+SIFT,14.91904761904762,0.049389138488216286,0.9506108615117838,0.049389138488216265
101,Gravel_Pit,311.2190476190476,AGAST+SIFT,12.566666666666666,0.04037884815472183,0.9596211518452782,0.04037884815472182
102,Gravel_Pit,311.03333333333336,AGAST+SIFT,48.55238095238095,0.15610024955218393,0.8438997504478162,0.15610024955218388
103,Gravel_Pit,335.29047619047617,AGAST+SIFT,6.652380952380953,0.01984064989845337,0.9801593501015466,0.019840649898453362
104,Gravel_Pit,253.6809523809524,AGAST+SIFT,14.204761904761904,0.055994593884331645,0.9440054061156683,0.05599459388433167
105,Gravel_Pit,239.88571428571427,AGAST+SIFT,2.5714285714285716,0.010719390185802764,0.9892806098141972,0.010719390185802789
106,Gravel_Pit,348.20952380952383,AGAST+SIFT,22.023809523809526,0.0632487281877359,0.9367512718122641,0.06324872818773587
107,Gravel_Pit,360.64761904761906,AGAST+SIFT,53.819047619047616,0.1492289003908313,0.8507710996091686,0.14922890039083134
108,Gravel_Pit,334.8333333333333,AGAST+SIFT,95.85238095238095,0.2862689326601721,0.7137310673398279,0.2862689326601721
109,Gravel_Pit,350.3904761904762,AGAST+SIFT,53.11904761904762,0.15159957598325677,0.8484004240167433,0.1515995759832567
110,Gravel_Pit,303.3095238095238,AGAST+SIFT,0.03333333333333333,0.00010989873616453411,0.9998901012638354,0.00010989873616458027
111,Gravel_Pit,286.62380952380954,AGAST+SIFT,0.1380952380952381,0.00048179960459204867,0.9995182003954081,0.00048179960459199283
112,Gravel_Pit,337.06666666666666,AGAST+SIFT,0.14761904761904762,0.0004379520795660036,0.999562047920434,0.00043795207956599385
113,Gravel_Pit,230.03809523809525,AGAST+SIFT,0.3761904761904762,0.0016353399022936159,0.9983646600977063,0.0016353399022936567
114,Gravel_Pit,194.5047619047619,AGAST+SIFT,0.4142857142857143,0.0021299515252411498,0.9978700484747589,0.0021299515252411207
115,Gravel_Pit,170.54761904761904,AGAST+SIFT,0.047619047619047616,0.00027921262041044257,0.9997207873795896,0.0002792126204104305
116,Gravel_Pit,303.76666666666665,AGAST+SIFT,25.438095238095237,0.08374222068943894,0.9162577793105611,0.08374222068943894
117,Gravel_Pit,455.85238095238094,AGAST+SIFT,10.280952380952382,0.022553249276603748,0.9774467507233963,0.02255324927660374
118,Gravel_Pit,473.16190476190474,AGAST+SIFT,121.44761904761904,0.2566724366973954,0.7433275633026045,0.2566724366973954
119,Gravel_Pit,375.04761904761904,AGAST+SIFT,19.876190476190477,0.05299644489588624,0.9470035551041138,0.05299644489588621
120,Gravel_Pit,368.64761904761906,AGAST+SIFT,4.933333333333334,0.013382246564017774,0.9866177534359822,0.013382246564017769
121,Gravel_Pit,347.9095238095238,AGAST+SIFT,32.03809523809524,0.09208743378820437,0.9079125662117956,0.09208743378820437
122,Gravel_Pit,222.06666666666666,AGAST+SIFT,12.861904761904762,0.05791911480893769,0.9420808851910624,0.05791911480893766
123,Gravel_Pit,148.1904761904762,AGAST+SIFT,0.2761904761904762,0.0018637532133676093,0.9981362467866325,0.0018637532133675616
124,Gravel_Pit,223.25238095238095,AGAST+SIFT,0.08571428571428572,0.00038393447518290214,0.9996160655248171,0.0003839344751829127
125,Gravel_Pit,319.8095238095238,AGAST+SIFT,8.533333333333333,0.02668254913639071,0.9733174508636092,0.02668254913639075
126,Gravel_Pit,374.4142857142857,AGAST+SIFT,32.96666666666667,0.0880486346929172,0.9119513653070828,0.08804863469291722
127,Gravel_Pit,365.7238095238095,AGAST+SIFT,4.533333333333333,0.012395510533579854,0.9876044894664201,0.01239551053357988
128,Gravel_Pit,288.25714285714287,AGAST+SIFT,0.8,0.002775299831499653,0.9972247001685003,0.002775299831499682
129,Gravel_Pit,308.4761904761905,AGAST+SIFT,62.09047619047619,0.2012812596480395,0.7987187403519606,0.20128125964803945
130,Gravel_Pit,179.97619047619048,AGAST+SIFT,28.042857142857144,0.1558142611456542,0.8441857388543458,0.1558142611456542
131,Gravel_Pit,159.83809523809524,AGAST+SIFT,6.2,0.03878925102782578,0.9612107489721743,0.038789251027825745
